ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,reference_designator,data_source,Automated_status,status,notes
GA05MOAS-PG562_D00001_ingest.csv,GA05MOAS,001,Ingest.glider-eng-glider_telemetered,/omc_data/whoi/OMC/GA05MOAS-PG562/D00001/merged-from-glider/ga_*.mrg,1277,0,0,1277,GA05MOAS-PG562-00-ENG000000,telemetered,Available,,NaN
GA05MOAS-PG562_D00001_ingest.csv,GA05MOAS,001,Ingest.ctdgv-m-glider_telemetered,/omc_data/whoi/OMC/GA05MOAS-PG562/D00001/merged-from-glider/ga_*.mrg,1277,0,0,1277,GA05MOAS-PG562-01-CTDGVM000,telemetered,Available,,NaN
GA05MOAS-PG562_D00001_ingest.csv,GA05MOAS,001,Ingest.dosta-abcdjm-glider_telemetered,/omc_data/whoi/OMC/GA05MOAS-PG562/D00001/merged-from-glider/ga_*.mrg,1277,0,0,1277,GA05MOAS-PG562-02-DOSTAM000,telemetered,Available,,NaN
GA05MOAS-PG562_D00001_ingest.csv,GA05MOAS,001,#Ingest.flort-m-glider_telemetered,/omc_data/whoi/OMC/GA05MOAS-PG562/D00001/merged-from-glider/ga_*.mrg,1277,0,0,1277,GA05MOAS-PG562-03-FLORTM000,telemetered,Available,Not configured properly for telemetry,NaN
GA05MOAS-PG562_D00001_ingest.csv,GA05MOAS,001,#Ingest.flort-o-glider_telemetered,/omc_data/whoi/OMC/GA05MOAS-PG562/D00001/merged-from-glider/ga_*.mrg,1277,0,0,1277,GA05MOAS-PG562-04-FLORTO000,telemetered,Available,Not configured properly for telemetry. No parser,NaN
GA05MOAS-PG562_D00001_ingest.csv,GA05MOAS,001,Ingest.nutnr-m-glider_telemetered,/omc_data/whoi/OMC/GA05MOAS-PG562/D00001/merged-from-glider/ga_*.mrg,1277,0,0,1277,GA05MOAS-PG562-05-NUTNRM000,telemetered,Available,,NaN
GA05MOAS-PG562_D00001_ingest.csv,GA05MOAS,001,Ingest.parad-m-glider_telemetered,/omc_data/whoi/OMC/GA05MOAS-PG562/D00001/merged-from-glider/ga_*.mrg,1277,0,0,1277,GA05MOAS-PG562-06-PARADM000,telemetered,Available,,NaN
GA05MOAS-PG562_R00001_ingest.csv,GA05MOAS,001,#Ingest.glider-eng-glider_recovered,/omc_data/whoi/OMC/GA05MOAS-PG562/R00001/merged-from-glider/ga_*.mrg,0,0,0,0,GA05MOAS-PG562-00-ENG000000,recovered_host,Missing,Glider lost,NaN
GA05MOAS-PG562_R00001_ingest.csv,GA05MOAS,001,#Ingest.ctdgv-m-glider_recovered,/omc_data/whoi/OMC/GA05MOAS-PG562/R00001/merged-from-glider/ga_*.mrg,0,0,0,0,GA05MOAS-PG562-01-CTDGVM000,recovered_host,Missing,Glider lost,NaN
GA05MOAS-PG562_R00001_ingest.csv,GA05MOAS,001,#Ingest.dosta-abcdjm-glider_recovered,/omc_data/whoi/OMC/GA05MOAS-PG562/R00001/merged-from-glider/ga_*.mrg,0,0,0,0,GA05MOAS-PG562-02-DOSTAM000,recovered_host,Missing,Glider lost,NaN
GA05MOAS-PG562_R00001_ingest.csv,GA05MOAS,001,#Ingest.flort-m-glider_recovered,/omc_data/whoi/OMC/GA05MOAS-PG562/R00001/merged-from-glider/ga_*.mrg,0,0,0,0,GA05MOAS-PG562-03-FLORTM000,recovered_host,Missing,Glider lost,NaN
GA05MOAS-PG562_R00001_ingest.csv,GA05MOAS,001,#Ingest.flort-o-glider_recovered,/omc_data/whoi/OMC/GA05MOAS-PG562/R00001/merged-from-glider/ga_*.mrg,0,0,0,0,GA05MOAS-PG562-04-FLORTO000,recovered_host,Missing,Glider lost,NaN
GA05MOAS-PG562_R00001_ingest.csv,GA05MOAS,001,#Ingest.nutnr-m-glider_telemetered,/omc_data/whoi/OMC/GA05MOAS-PG562/R00001/merged-from-glider/ga_*.mrg,0,0,0,0,GA05MOAS-PG562-05-NUTNRM000,recovered_host,Missing,Glider lost,NaN
GA05MOAS-PG562_R00001_ingest.csv,GA05MOAS,001,#Ingest.parad-m-glider_recovered,/omc_data/whoi/OMC/GA05MOAS-PG562/R00001/merged-from-glider/ga_*.mrg,0,0,0,0,GA05MOAS-PG562-06-PARADM000,recovered_host,Missing,Glider lost,NaN
