dim_0,air_temperature,barometric_pressure,driver_timestamp,eastward_wind_velocity,longwave_irradiance,northward_wind_velocity,pkt_format_id,pkt_version,port_timestamp,precipitation,preferred_timestamp,quality_flag,relative_humidity,sea_surface_conductivity,sea_surface_temperature,shortwave_irradiance,stream_name
0,7.47,985.09,3722267189.77,9.18,269.1,2.34,JSON_Data,1,3702326431.5,51.08,port_timestamp,ok,70.454,3.5056,7.717,2.4,metbk_a_dcl_instrument
1,7.447,984.74,3722267189.77,9.51,266.8,2.56,JSON_Data,1,3702326495.81,50.8,port_timestamp,ok,69.923,3.5057,7.621,2.0,metbk_a_dcl_instrument
2,7.417,984.74,3722267189.77,9.72,264.7,2.55,JSON_Data,1,3702326560.1,50.76,port_timestamp,ok,67.449,3.5056,7.888,2.1,metbk_a_dcl_instrument
3,7.44,985.02,3722267189.77,9.73,264.7,2.34,JSON_Data,1,3702326624.84,50.86,port_timestamp,ok,67.236,3.5053,7.699,2.0,metbk_a_dcl_instrument
4,7.425,984.95,3722267189.77,9.88,264.7,2.4,JSON_Data,1,3702326689.76,50.75,port_timestamp,ok,66.301,3.505,7.695,2.0,metbk_a_dcl_instrument
5,7.402,985.09,3722267189.77,8.75,262.9,3.54,JSON_Data,1,3702326722.82,51.13,port_timestamp,ok,65.253,3.5053,7.695,1.9,metbk_a_dcl_instrument
6,7.477,985.5,3722267189.77,9.21,263.8,2.36,JSON_Data,1,3702326789.56,51.14,port_timestamp,ok,67.388,3.5053,7.696,1.9,metbk_a_dcl_instrument
7,7.417,985.23,3722267189.77,9.03,264.3,2.58,JSON_Data,1,3702326853.85,51.11,port_timestamp,ok,66.241,3.5052,7.698,1.9,metbk_a_dcl_instrument
8,7.417,984.88,3722267189.77,9.71,266.0,2.67,JSON_Data,1,3702326919.04,50.94,port_timestamp,ok,65.678,3.5052,7.697,1.8,metbk_a_dcl_instrument
9,7.455,985.16,3722267189.77,9.46,266.5,2.29,JSON_Data,1,3702326983.39,51.24,port_timestamp,ok,66.985,3.5056,7.699,2.0,metbk_a_dcl_instrument
10,7.47,985.09,3722267189.77,8.77,266.6,2.6,JSON_Data,1,3702327047.61,51.2,port_timestamp,ok,68.132,3.5052,7.691,1.8,metbk_a_dcl_instrument
11,7.447,985.43,3722267189.77,8.72,267.7,1.81,JSON_Data,1,3702327082.81,51.04,port_timestamp,ok,68.929,3.5052,7.697,1.9,metbk_a_dcl_instrument
12,7.485,985.02,3722267189.77,8.34,268.2,2.12,JSON_Data,1,3702327143.39,50.97,port_timestamp,ok,70.082,3.5052,7.699,1.9,metbk_a_dcl_instrument
13,7.417,984.74,3722267189.77,7.8,268.2,1.6,JSON_Data,1,3702327207.69,51.25,port_timestamp,ok,69.733,3.5052,7.697,1.6,metbk_a_dcl_instrument
14,7.41,985.3,3722267189.77,8.95,268.3,2.14,JSON_Data,1,3702327272.67,51.13,port_timestamp,ok,68.086,3.5048,7.694,1.7,metbk_a_dcl_instrument
15,7.455,985.16,3722267189.77,8.61,268.6,2.53,JSON_Data,1,3702327337.05,50.89,port_timestamp,ok,69.043,3.505,7.7,1.9,metbk_a_dcl_instrument
