refdes_list,method_list,type_list,parserDriver_list
GS01SUMO-RID16-00-DCLENG000,recovered_host,Engineering,mi.dataset.driver.cg_dcl_eng_dcl.cg_dcl_eng_dcl_recovered_driver
GS01SUMO-RID16-00-DCLENG000,telemetered,Engineering,mi.dataset.driver.cg_dcl_eng_dcl.cg_dcl_eng_dcl_telemetered_driver
GS01SUMO-RID16-01-OPTAAD000,recovered_host,Science,mi.dataset.driver.optaa_dj_dcl.optaa_dj_dcl_recovered_driver
GS01SUMO-RID16-01-OPTAAD000,telemetered,Science,mi.dataset.driver.optaa_dj_dcl.optaa_dj_dcl_telemetered_driver
GS01SUMO-RID16-02-FLORTD000,recovered_host,Science,mi.dataset.driver.flort_dj_dcl.flort_dj_dcl_recovered_driver
GS01SUMO-RID16-02-FLORTD000,telemetered,Science,mi.dataset.driver.flort_dj_dcl.flort_dj_dcl_telemetered_driver
GS01SUMO-RID16-03-CTDBPF000,recovered_host,Science,mi.dataset.driver.ctdbp_cdef_dcl.ctdbp_cdef_dcl_recovered_driver
GS01SUMO-RID16-03-CTDBPF000,recovered_inst,Science,mi.dataset.driver..
GS01SUMO-RID16-03-CTDBPF000,telemetered,Science,mi.dataset.driver.ctdbp_cdef_dcl.ctdbp_cdef_dcl_telemetered_driver
GS01SUMO-RID16-04-VELPTA000,recovered_host,Science,mi.dataset.driver.velpt_ab_dcl_particles.velpt_ab_dcl_recovered_driver
GS01SUMO-RID16-04-VELPTA000,recovered_inst,Science,mi.dataset.driver.velpt_ab_particles.velpt_ab_recovered_driver
GS01SUMO-RID16-04-VELPTA000,telemetered,Science,mi.dataset.driver.velpt_ab_dcl_particles.velpt_ab_dcl_telemetered_driver
GS01SUMO-RID16-05-PCO2WB000,recovered_host,Science,mi.dataset.driver.pco2w_abc_particles.pco2w_abc_dcl_recovered_driver
GS01SUMO-RID16-05-PCO2WB000,recovered_inst,Science,mi.dataset.driver.pco2w_abc_particles.pco2w_abc_recovered_driver
GS01SUMO-RID16-05-PCO2WB000,telemetered,Science,mi.dataset.driver.pco2w_abc_particles.pco2w_abc_dcl_telemetered_driver
GS01SUMO-RID16-06-DOSTAD000,recovered_host,Science,mi.dataset.driver.dosta_abcdjm_dcl.dosta_abcdjm_dcl_recovered_driver
GS01SUMO-RID16-06-DOSTAD000,telemetered,Science,mi.dataset.driver.dosta_abcdjm_dcl.dosta_abcdjm_dcl_telemetered_driver
GS01SUMO-RID16-07-NUTNRB000,recovered_host,Science,mi.dataset.driver.nutnr_b_dcl_full.nutnr_b_dcl_full_recovered_driver
GS01SUMO-RID16-07-NUTNRB000,recovered_inst,Science,mi.dataset.driver.nutnr_b.nutnr_b_recovered_driver
GS01SUMO-RID16-07-NUTNRB000,telemetered,Science,mi.dataset.driver.nutnr_b_dcl_full.nutnr_b_dcl_full_telemetered_driver
GS01SUMO-RID16-08-SPKIRB000,recovered_host,Science,mi.dataset.driver.spkir_abj_dcl.spkir_abj_dcl_recovered_driver
GS01SUMO-RID16-08-SPKIRB000,telemetered,Science,mi.dataset.driver.spkir_abj_dcl.spkir_abj_dcl_telemetered_driver
GS01SUMO-RII11-02-ADCPSN010,recovered_host,Science,mi.dataset.driver.adcps_jln_stc.adcps_jln_stc_recovered_driver
GS01SUMO-RII11-02-ADCPSN010,recovered_inst,Science,mi.dataset.driver.adcp_pd0.adcps_jln_driver
GS01SUMO-RII11-02-ADCPSN010,telemetered,Science,mi.dataset.driver.adcps_jln_stc.adcps_jln_stc_telemetered_driver
GS01SUMO-RII11-02-CTDBPP031,recovered_inst,Science,mi.dataset.driver.ctdbp_p.ctdbp_p_recovered_driver
GS01SUMO-RII11-02-CTDBPP031,recovered_host,Science,mi.dataset.driver.ctdbp_p_dcl.ctdbp_p_dcl_recovered_driver
GS01SUMO-RII11-02-CTDBPP031,telemetered,Science,mi.dataset.driver.ctdbp_p_dcl.ctdbp_p_dcl_telemetered_driver
GS01SUMO-RII11-02-CTDBPP032,recovered_inst,Science,mi.dataset.driver.ctdbp_p.ctdbp_p_recovered_driver
GS01SUMO-RII11-02-CTDBPP032,recovered_host,Science,mi.dataset.driver.ctdbp_p_dcl.ctdbp_p_dcl_recovered_driver
GS01SUMO-RII11-02-CTDBPP032,telemetered,Science,mi.dataset.driver.ctdbp_p_dcl.ctdbp_p_dcl_telemetered_driver
GS01SUMO-RII11-02-CTDBPP033,recovered_inst,Science,mi.dataset.driver.ctdbp_p.ctdbp_p_recovered_driver
GS01SUMO-RII11-02-CTDBPP033,recovered_host,Science,mi.dataset.driver.ctdbp_p_dcl.ctdbp_p_dcl_recovered_driver
GS01SUMO-RII11-02-CTDBPP033,telemetered,Science,mi.dataset.driver.ctdbp_p_dcl.ctdbp_p_dcl_telemetered_driver
GS01SUMO-RII11-02-CTDMOQ011,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_recovered_driver
GS01SUMO-RII11-02-CTDMOQ011,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS01SUMO-RII11-02-CTDMOQ011,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_telemetered_driver
GS01SUMO-RII11-02-CTDMOQ012,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_recovered_driver
GS01SUMO-RII11-02-CTDMOQ012,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS01SUMO-RII11-02-CTDMOQ012,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_telemetered_driver
GS01SUMO-RII11-02-CTDMOQ013,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_recovered_driver
GS01SUMO-RII11-02-CTDMOQ013,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS01SUMO-RII11-02-CTDMOQ013,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_telemetered_driver
GS01SUMO-RII11-02-CTDMOQ014,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_recovered_driver
GS01SUMO-RII11-02-CTDMOQ014,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS01SUMO-RII11-02-CTDMOQ014,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_telemetered_driver
GS01SUMO-RII11-02-CTDMOQ015,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_recovered_driver
GS01SUMO-RII11-02-CTDMOQ015,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS01SUMO-RII11-02-CTDMOQ015,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_telemetered_driver
GS01SUMO-RII11-02-CTDMOQ016,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_recovered_driver
GS01SUMO-RII11-02-CTDMOQ016,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS01SUMO-RII11-02-CTDMOQ016,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_telemetered_driver
GS01SUMO-RII11-02-CTDMOQ017,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_recovered_driver
GS01SUMO-RII11-02-CTDMOQ017,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS01SUMO-RII11-02-CTDMOQ017,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_telemetered_driver
GS01SUMO-RII11-02-CTDMOQ031,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_recovered_driver
GS01SUMO-RII11-02-CTDMOQ031,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS01SUMO-RII11-02-CTDMOQ031,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_telemetered_driver
GS01SUMO-RII11-02-CTDMOQ033,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_recovered_driver
GS01SUMO-RII11-02-CTDMOQ033,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS01SUMO-RII11-02-CTDMOQ033,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_telemetered_driver
GS01SUMO-RII11-02-CTDMOR018,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_recovered_driver
GS01SUMO-RII11-02-CTDMOR018,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS01SUMO-RII11-02-CTDMOR018,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_telemetered_driver
GS01SUMO-RII11-02-CTDMOR019,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_recovered_driver
GS01SUMO-RII11-02-CTDMOR019,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS01SUMO-RII11-02-CTDMOR019,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_telemetered_driver
GS01SUMO-RII11-02-CTDMOR020,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_recovered_driver
GS01SUMO-RII11-02-CTDMOR020,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
