dim_0,amplitude_beam1,amplitude_beam2,amplitude_beam3,analog1,battery_voltage_dV,date_time_string,driver_timestamp,error_code,heading_decidegree,internal_timestamp,pitch_decidegree,pkt_format_id,pkt_version,preferred_timestamp,pressure_mbar,quality_flag,roll_decidegree,sound_speed_dms,status,stream_name,temperature_centidegree,velocity_beam1,velocity_beam2,velocity_beam3
0,45,47,51,0,116,2017/05/10 09:33:03,3722783895.26,0,2301,3703397583.0,-17,JSON_Data,1,internal_timestamp,13520,ok,-89,14803,17,velpt_ab_dcl_diagnostics,744,-791,698,-1807
1,74,71,69,0,116,2017/05/10 09:33:04,3722783895.26,0,2387,3703397584.0,38,JSON_Data,1,internal_timestamp,12965,ok,-18,14803,17,velpt_ab_dcl_diagnostics,744,52,-389,657
2,74,75,70,0,116,2017/05/10 09:33:05,3722783895.26,0,2429,3703397585.0,29,JSON_Data,1,internal_timestamp,13690,ok,-2,14803,17,velpt_ab_dcl_diagnostics,743,-89,535,125
3,74,76,74,0,116,2017/05/10 09:33:06,3722783895.26,0,2324,3703397586.0,22,JSON_Data,1,internal_timestamp,13516,ok,-85,14803,17,velpt_ab_dcl_diagnostics,743,274,198,-777
4,73,65,75,0,116,2017/05/10 09:33:07,3722783895.26,0,2416,3703397587.0,0,JSON_Data,1,internal_timestamp,12765,ok,-41,14803,17,velpt_ab_dcl_diagnostics,743,381,9,322
5,74,74,71,0,116,2017/05/10 09:33:08,3722783895.26,0,2488,3703397588.0,-6,JSON_Data,1,internal_timestamp,13067,ok,-21,14803,17,velpt_ab_dcl_diagnostics,743,136,790,389
6,82,78,71,0,116,2017/05/10 09:33:09,3722783895.26,0,2489,3703397589.0,-31,JSON_Data,1,internal_timestamp,13475,ok,-73,14803,17,velpt_ab_dcl_diagnostics,744,233,423,112
7,73,82,72,0,116,2017/05/10 09:33:10,3722783895.26,0,2470,3703397590.0,-10,JSON_Data,1,internal_timestamp,13537,ok,-67,14803,17,velpt_ab_dcl_diagnostics,743,353,-670,-362
8,79,72,73,0,116,2017/05/10 09:33:11,3722783895.26,0,2628,3703397591.0,16,JSON_Data,1,internal_timestamp,13280,ok,12,14803,17,velpt_ab_dcl_diagnostics,743,-31,-664,-341
9,74,71,71,0,116,2017/05/10 09:33:12,3722783895.26,0,2585,3703397592.0,45,JSON_Data,1,internal_timestamp,12753,ok,20,14803,17,velpt_ab_dcl_diagnostics,743,32,188,-494
10,77,70,71,0,116,2017/05/10 09:33:13,3722783895.26,0,2623,3703397593.0,26,JSON_Data,1,internal_timestamp,12188,ok,-33,14803,17,velpt_ab_dcl_diagnostics,743,22,276,439
11,73,73,72,0,116,2017/05/10 09:33:14,3722783895.26,0,2586,3703397594.0,53,JSON_Data,1,internal_timestamp,13062,ok,-79,14803,17,velpt_ab_dcl_diagnostics,744,-220,93,1254
12,70,77,66,0,116,2017/05/10 09:33:15,3722783895.26,0,2532,3703397595.0,56,JSON_Data,1,internal_timestamp,14246,ok,-57,14803,17,velpt_ab_dcl_diagnostics,743,-230,197,-261
13,69,74,74,0,116,2017/05/10 09:33:16,3722783895.26,0,2522,3703397596.0,45,JSON_Data,1,internal_timestamp,13785,ok,-58,14803,17,velpt_ab_dcl_diagnostics,744,397,-141,-605
14,72,72,72,0,116,2017/05/10 09:33:17,3722783895.26,0,2712,3703397597.0,18,JSON_Data,1,internal_timestamp,13394,ok,-1,14803,17,velpt_ab_dcl_diagnostics,744,175,226,228
15,75,73,70,0,116,2017/05/10 09:33:18,3722783895.26,0,2558,3703397598.0,33,JSON_Data,1,internal_timestamp,13646,ok,-26,14803,17,velpt_ab_dcl_diagnostics,743,347,347,-336
16,75,76,70,0,116,2017/05/10 09:33:19,3722783895.26,0,2571,3703397599.0,-4,JSON_Data,1,internal_timestamp,13010,ok,-56,14803,17,velpt_ab_dcl_diagnostics,744,513,-154,-996
17,76,81,74,0,116,2017/05/10 09:33:20,3722783895.26,0,2806,3703397600.0,-4,JSON_Data,1,internal_timestamp,12192,ok,-12,14803,17,velpt_ab_dcl_diagnostics,744,-111,151,76
18,75,70,70,0,116,2017/05/10 09:33:21,3722783895.26,0,2848,3703397601.0,59,JSON_Data,1,internal_timestamp,12469,ok,-43,14803,17,velpt_ab_dcl_diagnostics,744,-262,656,833
19,72,79,67,0,116,2017/05/10 09:33:22,3722783895.26,0,2629,3703397602.0,64,JSON_Data,1,internal_timestamp,13461,ok,-83,14803,17,velpt_ab_dcl_diagnostics,744,-160,430,733
20,71,74,71,0,116,2017/05/10 09:33:23,3722783895.26,0,2454,3703397603.0,38,JSON_Data,1,internal_timestamp,14165,ok,-84,14803,17,velpt_ab_dcl_diagnostics,743,496,-88,-647
21,69,76,71,0,116,2017/05/10 09:33:24,3722783895.26,0,2682,3703397604.0,-8,JSON_Data,1,internal_timestamp,13236,ok,-9,14803,17,velpt_ab_dcl_diagnostics,744,-39,-298,-1381
22,70,77,73,0,116,2017/05/10 09:33:25,3722783895.26,0,2798,3703397605.0,50,JSON_Data,1,internal_timestamp,11837,ok,7,14803,17,velpt_ab_dcl_diagnostics,744,-458,-52,414
23,82,73,70,0,116,2017/05/10 09:33:26,3722783895.26,0,2755,3703397606.0,122,JSON_Data,1,internal_timestamp,12614,ok,-8,14803,17,velpt_ab_dcl_diagnostics,744,-188,77,1137
24,67,68,70,0,116,2017/05/10 09:33:27,3722783895.26,0,2557,3703397607.0,93,JSON_Data,1,internal_timestamp,13812,ok,-14,14803,17,velpt_ab_dcl_diagnostics,744,306,457,-112
25,75,75,78,0,116,2017/05/10 09:33:28,3722783895.26,0,2737,3703397608.0,19,JSON_Data,1,internal_timestamp,13674,ok,-54,14803,17,velpt_ab_dcl_diagnostics,744,704,-186,-445
26,72,71,72,0,116,2017/05/10 09:33:29,3722783895.26,0,2914,3703397609.0,-6,JSON_Data,1,internal_timestamp,13378,ok,-33,14803,17,velpt_ab_dcl_diagnostics,744,-579,-235,283
27,79,77,70,0,116,2017/05/10 09:33:30,3722783895.26,0,2827,3703397610.0,62,JSON_Data,1,internal_timestamp,14071,ok,10,14803,17,velpt_ab_dcl_diagnostics,744,-322,107,415
28,77,78,74,0,116,2017/05/10 09:33:31,3722783895.26,0,2645,3703397611.0,54,JSON_Data,1,internal_timestamp,14199,ok,-49,14803,17,velpt_ab_dcl_diagnostics,744,626,18,-1457
29,73,77,75,0,116,2017/05/10 09:33:32,3722783895.26,0,2935,3703397612.0,-45,JSON_Data,1,internal_timestamp,12683,ok,-29,14803,17,velpt_ab_dcl_diagnostics,744,320,-259,-1238
30,70,74,69,0,116,2017/05/10 09:33:33,3722783895.26,0,2975,3703397613.0,-4,JSON_Data,1,internal_timestamp,11535,ok,-12,14803,17,velpt_ab_dcl_diagnostics,744,-538,269,-170
31,75,74,74,0,116,2017/05/10 09:33:34,3722783895.26,0,2996,3703397614.0,100,JSON_Data,1,internal_timestamp,11385,ok,-8,14803,17,velpt_ab_dcl_diagnostics,744,-412,415,784
32,73,75,74,0,116,2017/05/10 09:33:35,3722783895.26,0,2893,3703397615.0,155,JSON_Data,1,internal_timestamp,12314,ok,-33,14803,17,velpt_ab_dcl_diagnostics,744,-447,227,1196
33,75,77,72,0,116,2017/05/10 09:33:36,3722783895.26,0,2816,3703397616.0,145,JSON_Data,1,internal_timestamp,13701,ok,-30,14803,17,velpt_ab_dcl_diagnostics,744,-296,-367,1140
34,75,74,73,0,116,2017/05/10 09:33:37,3722783895.26,0,2752,3703397617.0,108,JSON_Data,1,internal_timestamp,14879,ok,-11,14803,17,velpt_ab_dcl_diagnostics,744,291,-668,-391
35,76,86,71,0,116,2017/05/10 09:33:38,3722783895.26,0,2685,3703397618.0,44,JSON_Data,1,internal_timestamp,14251,ok,46,14803,17,velpt_ab_dcl_diagnostics,744,740,-160,-1804
36,76,79,73,0,116,2017/05/10 09:33:39,3722783895.26,0,2770,3703397619.0,-21,JSON_Data,1,internal_timestamp,12559,ok,12,14803,17,velpt_ab_dcl_diagnostics,744,405,346,-593
37,73,74,71,0,116,2017/05/10 09:33:40,3722783895.26,0,2736,3703397620.0,-10,JSON_Data,1,internal_timestamp,12232,ok,-60,14803,17,velpt_ab_dcl_diagnostics,744,-60,148,1138
38,74,80,73,0,116,2017/05/10 09:33:41,3722783895.26,0,2629,3703397621.0,0,JSON_Data,1,internal_timestamp,13176,ok,-68,14803,17,velpt_ab_dcl_diagnostics,744,-550,250,669
39,74,72,77,0,116,2017/05/10 09:33:42,3722783895.26,0,2397,3703397622.0,39,JSON_Data,1,internal_timestamp,13647,ok,-87,14803,17,velpt_ab_dcl_diagnostics,744,-237,-320,78
40,69,74,73,0,116,2017/05/10 09:33:43,3722783895.26,0,2249,3703397623.0,32,JSON_Data,1,internal_timestamp,13875,ok,-44,14803,17,velpt_ab_dcl_diagnostics,744,325,-178,-83
41,74,72,74,0,116,2017/05/10 09:33:44,3722783895.26,0,2247,3703397624.0,-9,JSON_Data,1,internal_timestamp,13608,ok,-34,14803,17,velpt_ab_dcl_diagnostics,744,274,37,-1128
42,73,76,71,0,116,2017/05/10 09:33:45,3722783895.26,0,2160,3703397625.0,12,JSON_Data,1,internal_timestamp,12209,ok,-47,14803,17,velpt_ab_dcl_diagnostics,744,216,-39,-353
43,78,76,73,0,116,2017/05/10 09:33:46,3722783895.26,0,2056,3703397626.0,-10,JSON_Data,1,internal_timestamp,12001,ok,-64,14803,17,velpt_ab_dcl_diagnostics,744,187,246,867
44,75,77,71,0,116,2017/05/10 09:33:47,3722783895.26,0,1986,3703397627.0,-25,JSON_Data,1,internal_timestamp,12974,ok,-69,14803,17,velpt_ab_dcl_diagnostics,744,-95,682,807
45,70,74,75,0,116,2017/05/10 09:33:48,3722783895.26,0,1887,3703397628.0,-35,JSON_Data,1,internal_timestamp,13946,ok,-78,14803,17,velpt_ab_dcl_diagnostics,744,-39,42,352
46,76,79,72,0,116,2017/05/10 09:33:49,3722783895.26,0,1743,3703397629.0,-4,JSON_Data,1,internal_timestamp,14242,ok,-64,14803,17,velpt_ab_dcl_diagnostics,744,553,-323,-328
47,74,68,72,0,116,2017/05/10 09:33:50,3722783895.26,0,1785,3703397630.0,25,JSON_Data,1,internal_timestamp,13817,ok,-20,14803,17,velpt_ab_dcl_diagnostics,744,548,132,-365
48,70,73,69,0,116,2017/05/10 09:33:51,3722783895.26,0,1861,3703397631.0,-14,JSON_Data,1,internal_timestamp,13294,ok,-1,14803,17,velpt_ab_dcl_diagnostics,744,469,382,-267
49,71,75,71,0,116,2017/05/10 09:33:52,3722783895.26,0,1867,3703397632.0,-25,JSON_Data,1,internal_timestamp,12897,ok,1,14803,17,velpt_ab_dcl_diagnostics,744,81,217,-88
50,75,74,73,0,116,2017/05/10 09:33:53,3722783895.26,0,1844,3703397633.0,-32,JSON_Data,1,internal_timestamp,13051,ok,-44,14803,17,velpt_ab_dcl_diagnostics,744,-160,62,802
51,80,72,68,0,116,2017/05/10 09:33:54,3722783895.26,0,1678,3703397634.0,-44,JSON_Data,1,internal_timestamp,13652,ok,-78,14803,17,velpt_ab_dcl_diagnostics,744,156,-311,-620
52,81,74,73,0,116,2017/05/10 09:33:55,3722783895.26,0,1654,3703397635.0,7,JSON_Data,1,internal_timestamp,12927,ok,-69,14803,17,velpt_ab_dcl_diagnostics,744,371,40,-251
53,69,74,71,0,116,2017/05/10 09:33:56,3722783895.26,0,1816,3703397636.0,-36,JSON_Data,1,internal_timestamp,12796,ok,-22,14803,17,velpt_ab_dcl_diagnostics,744,-205,654,146
54,73,74,78,0,116,2017/05/10 09:33:57,3722783895.26,0,1686,3703397637.0,-56,JSON_Data,1,internal_timestamp,13038,ok,-82,14803,17,velpt_ab_dcl_diagnostics,744,-590,424,-66
55,72,76,74,0,116,2017/05/10 09:33:58,3722783895.26,0,1702,3703397638.0,-38,JSON_Data,1,internal_timestamp,13005,ok,-99,14803,17,velpt_ab_dcl_diagnostics,744,164,-291,331
56,72,79,69,0,116,2017/05/10 09:33:59,3722783895.26,0,1675,3703397639.0,-18,JSON_Data,1,internal_timestamp,13308,ok,-63,14803,17,velpt_ab_dcl_diagnostics,744,691,-557,-58
57,73,70,78,0,116,2017/05/10 09:34:00,3722783895.26,0,1859,3703397640.0,37,JSON_Data,1,internal_timestamp,13260,ok,-30,14803,17,velpt_ab_dcl_diagnostics,744,564,-46,397
58,76,72,75,0,116,2017/05/10 09:34:01,3722783895.26,0,1937,3703397641.0,-3,JSON_Data,1,internal_timestamp,13882,ok,-17,14803,17,velpt_ab_dcl_diagnostics,744,403,646,377
