refdes_list,method_list,type_list,parserDriver_list
GI03FLMB-RI000-00-CTDMOH000,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GI03FLMB-RI000-00-CTDMOH100,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GI03FLMB-RI000-00-CTDMOH400,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GI03FLMB-RI000-00-CTDMOH700,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GI03FLMB-RI000-00-VELPTB000,recovered_inst,Science,mi.dataset.driver.velpt_ab_particles.velpt_ab_recovered_driver
GI03FLMB-RI000-00-VELPTB100,recovered_inst,Science,mi.dataset.driver.velpt_ab_particles.velpt_ab_recovered_driver
GI03FLMB-RI000-00-VELPTB400,recovered_inst,Science,mi.dataset.driver.velpt_ab_particles.velpt_ab_recovered_driver
GI03FLMB-RI000-00-VELPTB700,recovered_inst,Science,mi.dataset.driver.velpt_ab_particles.velpt_ab_recovered_driver
GI03FLMB-RIM01-00-SIOENG000,recovered_host,Engineering,mi.dataset.driver.sio_eng_sio.sio_eng_sio_recovered_driver
GI03FLMB-RIM01-00-SIOENG000,telemetered,Engineering,mi.dataset.driver.sio_eng_sio.sio_eng_sio_telemetered_driver
GI03FLMB-RIM01-02-ADCPSL007,recovered_host,Science,mi.dataset.driver.adcps_jln_stc.adcps_jln_stc_recovered_driver
GI03FLMB-RIM01-02-ADCPSL007,recovered_inst,Science,mi.dataset.driver.adcp_pd0.adcps_jln_driver
GI03FLMB-RIM01-02-ADCPSL007,telemetered,Science,mi.dataset.driver.adcps_jln_sio.adcps_jln_sio_telemetered_driver
GI03FLMB-RIM01-02-CTDMOG060,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GI03FLMB-RIM01-02-CTDMOG060,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GI03FLMB-RIM01-02-CTDMOG060,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GI03FLMB-RIM01-02-CTDMOG061,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GI03FLMB-RIM01-02-CTDMOG061,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GI03FLMB-RIM01-02-CTDMOG061,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GI03FLMB-RIM01-02-CTDMOG062,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GI03FLMB-RIM01-02-CTDMOG062,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GI03FLMB-RIM01-02-CTDMOG062,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GI03FLMB-RIM01-02-CTDMOG063,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GI03FLMB-RIM01-02-CTDMOG063,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GI03FLMB-RIM01-02-CTDMOG063,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GI03FLMB-RIM01-02-CTDMOG064,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GI03FLMB-RIM01-02-CTDMOG064,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GI03FLMB-RIM01-02-CTDMOG064,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GI03FLMB-RIM01-02-CTDMOG065,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GI03FLMB-RIM01-02-CTDMOG065,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GI03FLMB-RIM01-02-CTDMOG065,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GI03FLMB-RIM01-02-CTDMOG066,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GI03FLMB-RIM01-02-CTDMOG066,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GI03FLMB-RIM01-02-CTDMOG066,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GI03FLMB-RIM01-02-CTDMOG067,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GI03FLMB-RIM01-02-CTDMOG067,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GI03FLMB-RIM01-02-CTDMOG067,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GI03FLMB-RIM01-02-CTDMOG068,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GI03FLMB-RIM01-02-CTDMOG068,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GI03FLMB-RIM01-02-CTDMOG068,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GI03FLMB-RIM01-02-CTDMOH069,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GI03FLMB-RIM01-02-CTDMOH069,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GI03FLMB-RIM01-02-CTDMOH069,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GI03FLMB-RIM01-02-CTDMOH070,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GI03FLMB-RIM01-02-CTDMOH070,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GI03FLMB-RIM01-02-CTDMOH070,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GI03FLMB-RIM01-02-CTDMOH071,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GI03FLMB-RIM01-02-CTDMOH071,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GI03FLMB-RIM01-02-CTDMOH071,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GI03FLMB-RIS01-00-SIOENG000,recovered_host,Engineering,mi.dataset.driver.sio_eng_sio.sio_eng_sio_recovered_driver
GI03FLMB-RIS01-00-SIOENG000,telemetered,Engineering,mi.dataset.driver.sio_eng_sio.sio_eng_sio_telemetered_driver
GI03FLMB-RIS01-03-DOSTAD000,recovered_host,Science,mi.dataset.driver.dosta_abcdjm_sio.dosta_abcdjm_sio_recovered_driver
GI03FLMB-RIS01-03-DOSTAD000,telemetered,Science,mi.dataset.driver.dosta_abcdjm_sio.dosta_abcdjm_sio_telemetered_driver
GI03FLMB-RIS01-04-PHSENF000,recovered_inst,Science,mi.dataset.driver.phsen_abcdef.phsen_abcdef_recovered_driver
GI03FLMB-RIS01-04-PHSENF000,recovered_host,Science,mi.dataset.driver.phsen_abcdef_imodem_particles.phsen_abcdef_imodem_recovered_driver
GI03FLMB-RIS01-04-PHSENF000,telemetered,Science,mi.dataset.driver.phsen_abcdef_sio.phsen_abcdef_sio_telemetered_driver
GI03FLMB-RIS01-05-FLORTD000,recovered_host,Science,mi.dataset.driver.flort_dj_sio.flort_dj_sio_recovered_driver
GI03FLMB-RIS01-05-FLORTD000,telemetered,Science,mi.dataset.driver.flort_dj_sio.flort_dj_sio_telemetered_driver
