reference_designator,data_source,type_list,ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,Automated_status,status,notes_x,CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes_y
GA03FLMA-RIM01-00-SIOENG000,recovered_host,Engineering,GA03FLMA_R00001_ingest.csv,GA03FLMA,1,Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/MSIOC/STA*.DAT,353,0,1,352,Available,,,AT-26-30,,NBP-15-10,,1.0,2015-03-17T19:45:00,2015-11-22T12:08:00,CGMGA-03FLMA-00001,,CGCON-SIOCON-98925,-42.493,-42.87067,,1508.0,5165.0,
GA03FLMA-RIM01-00-SIOENG000,recovered_host,Engineering,GA03FLMA_R00002_ingest.csv,GA03FLMA,2,Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GA03FLMA/R00002/cg_data/MSIOC_sn14875/STATUS/STA*.DAT,351,0,0,351,Available,,,NBP-15-10,,NBP16-09,,1.0,2015-11-25T19:21:00,2016-11-05T18:58:00,CGMGA-03FLMA-00002,,CGCON-SIOCON-14879,-42.49457,-42.92112,,1502.0,5142.0,
GA03FLMA-RIM01-00-SIOENG000,telemetered,Engineering,GA03FLMA_D00001_ingest.csv,GA03FLMA,1,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GA03FLMA/D00001/*status_1399501.dat,28,0,27,1,Available,,,AT-26-30,,NBP-15-10,,1.0,2015-03-17T19:45:00,2015-11-22T12:08:00,CGMGA-03FLMA-00001,,CGCON-SIOCON-98925,-42.493,-42.87067,,1508.0,5165.0,
GA03FLMA-RIM01-00-SIOENG000,telemetered,Engineering,GA03FLMA_D00002_ingest.csv,GA03FLMA,2,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GA03FLMA/D00002/*status_1487901.dat,1,0,1,0,Available,,,NBP-15-10,,NBP16-09,,1.0,2015-11-25T19:21:00,2016-11-05T18:58:00,CGMGA-03FLMA-00002,,CGCON-SIOCON-14879,-42.49457,-42.92112,,1502.0,5142.0,
GA03FLMA-RIM01-00-SIOENG000,telemetered,Engineering,GA03FLMA_D00003_ingest.csv,GA03FLMA,3,#Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GA03FLMA/D00003/*status_1487901.dat,0,0,0,0,Missing,No data expected due to glider failures,,NBP16-09,,,,1.0,2016-10-30T23:17:00,,CGMGA-03FLMA-00003,,CGCON-SIOCON-13280,-42.49212833,-42.88019333,,1510.0,5166.0,deployment_depth placeholder: design depth
GA03FLMA-RIM01-02-ADCPSL003,recovered_host,Science,GA03FLMA_R00001_ingest.csv,GA03FLMA,1,#Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/ADCPS_sn20503/ADC*.DAT,0,0,0,0,Missing,Data not expected,,AT-26-30,,NBP-15-10,,1.0,2015-03-17T19:45:00,2015-11-22T12:08:00,CGMGA-03FLMA-00001,,CGINS-ADCPSL-20503,-42.493,-42.87067,,502.0,5165.0,
GA03FLMA-RIM01-02-ADCPSL003,recovered_host,Science,GA03FLMA_R00002_ingest.csv,GA03FLMA,2,Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GA03FLMA/R00002/cg_data/MSIOC_sn14875/ADCPS/ADC*.DAT,351,0,0,351,Available,,,NBP-15-10,,NBP16-09,,1.0,2015-11-25T19:21:00,2016-11-05T18:58:00,CGMGA-03FLMA-00002,,CGINS-ADCPSL-23497,-42.49457,-42.92112,,495.0,5142.0,
GA03FLMA-RIM01-02-ADCPSL003,recovered_inst,Science,GA03FLMA_R00001_ingest.csv,GA03FLMA,1,Ingest.adcps-jln_recovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/ADCPS_sn20503/*.000,1,0,0,1,Available,,,AT-26-30,,NBP-15-10,,1.0,2015-03-17T19:45:00,2015-11-22T12:08:00,CGMGA-03FLMA-00001,,CGINS-ADCPSL-20503,-42.493,-42.87067,,502.0,5165.0,
GA03FLMA-RIM01-02-ADCPSL003,recovered_inst,Science,GA03FLMA_R00002_ingest.csv,GA03FLMA,2,Ingest.adcps-jln_recovered,/omc_data/whoi/OMC/GA03FLMA/R00002/instruments/ADCPS_sn23497/*.000,4,0,0,4,Available,,,NBP-15-10,,NBP16-09,,1.0,2015-11-25T19:21:00,2016-11-05T18:58:00,CGMGA-03FLMA-00002,,CGINS-ADCPSL-23497,-42.49457,-42.92112,,495.0,5142.0,
GA03FLMA-RIM01-02-ADCPSL003,telemetered,Science,GA03FLMA_D00001_ingest.csv,GA03FLMA,1,Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GA03FLMA/D00001/*adcps*.dat,40,0,5,35,Available,,,AT-26-30,,NBP-15-10,,1.0,2015-03-17T19:45:00,2015-11-22T12:08:00,CGMGA-03FLMA-00001,,CGINS-ADCPSL-20503,-42.493,-42.87067,,502.0,5165.0,
