refdes_list,method_list,type_list
GI03FLMA-RI000-00-CTDMOH000,recovered_inst,Science
GI03FLMA-RI000-00-CTDMOH100,recovered_inst,Science
GI03FLMA-RI000-00-CTDMOH400,recovered_inst,Science
GI03FLMA-RI000-00-CTDMOH700,recovered_inst,Science
GI03FLMA-RI000-00-VELPTB000,recovered_inst,Science
GI03FLMA-RI000-00-VELPTB100,recovered_inst,Science
GI03FLMA-RI000-00-VELPTB400,recovered_inst,Science
GI03FLMA-RI000-00-VELPTB700,recovered_inst,Science
GI03FLMA-RIM01-00-SIOENG000,recovered_host,Engineering
GI03FLMA-RIM01-00-SIOENG000,telemetered,Engineering
GI03FLMA-RIM01-02-ADCPSL003,recovered_host,Science
GI03FLMA-RIM01-02-ADCPSL003,recovered_inst,Science
GI03FLMA-RIM01-02-ADCPSL003,telemetered,Science
GI03FLMA-RIM01-02-CTDMOG040,recovered_host,Science
GI03FLMA-RIM01-02-CTDMOG040,recovered_inst,Science
GI03FLMA-RIM01-02-CTDMOG040,telemetered,Science
GI03FLMA-RIM01-02-CTDMOG041,recovered_host,Science
GI03FLMA-RIM01-02-CTDMOG041,recovered_inst,Science
GI03FLMA-RIM01-02-CTDMOG041,telemetered,Science
GI03FLMA-RIM01-02-CTDMOG042,recovered_host,Science
GI03FLMA-RIM01-02-CTDMOG042,recovered_inst,Science
GI03FLMA-RIM01-02-CTDMOG042,telemetered,Science
GI03FLMA-RIM01-02-CTDMOG043,recovered_host,Science
GI03FLMA-RIM01-02-CTDMOG043,recovered_inst,Science
GI03FLMA-RIM01-02-CTDMOG043,telemetered,Science
GI03FLMA-RIM01-02-CTDMOG044,recovered_host,Science
GI03FLMA-RIM01-02-CTDMOG044,recovered_inst,Science
GI03FLMA-RIM01-02-CTDMOG044,telemetered,Science
GI03FLMA-RIM01-02-CTDMOG045,recovered_host,Science
GI03FLMA-RIM01-02-CTDMOG045,recovered_inst,Science
GI03FLMA-RIM01-02-CTDMOG045,telemetered,Science
GI03FLMA-RIM01-02-CTDMOG046,recovered_host,Science
GI03FLMA-RIM01-02-CTDMOG046,recovered_inst,Science
GI03FLMA-RIM01-02-CTDMOG046,telemetered,Science
GI03FLMA-RIM01-02-CTDMOG047,recovered_host,Science
GI03FLMA-RIM01-02-CTDMOG047,recovered_inst,Science
GI03FLMA-RIM01-02-CTDMOG047,telemetered,Science
GI03FLMA-RIM01-02-CTDMOG048,recovered_host,Science
GI03FLMA-RIM01-02-CTDMOG048,recovered_inst,Science
GI03FLMA-RIM01-02-CTDMOG048,telemetered,Science
GI03FLMA-RIM01-02-CTDMOH049,recovered_host,Science
GI03FLMA-RIM01-02-CTDMOH049,recovered_inst,Science
GI03FLMA-RIM01-02-CTDMOH049,telemetered,Science
GI03FLMA-RIM01-02-CTDMOH050,recovered_host,Science
GI03FLMA-RIM01-02-CTDMOH050,recovered_inst,Science
GI03FLMA-RIM01-02-CTDMOH050,telemetered,Science
GI03FLMA-RIM01-02-CTDMOH051,recovered_host,Science
GI03FLMA-RIM01-02-CTDMOH051,recovered_inst,Science
GI03FLMA-RIM01-02-CTDMOH051,telemetered,Science
GI03FLMA-RIS01-00-SIOENG000,recovered_host,Engineering
GI03FLMA-RIS01-00-SIOENG000,telemetered,Engineering
GI03FLMA-RIS01-03-DOSTAD000,recovered_host,Science
GI03FLMA-RIS01-03-DOSTAD000,telemetered,Science
GI03FLMA-RIS01-04-PHSENF000,recovered_inst,Science
GI03FLMA-RIS01-04-PHSENF000,recovered_host,Science
GI03FLMA-RIS01-04-PHSENF000,telemetered,Science
GI03FLMA-RIS01-05-FLORTD000,recovered_host,Science
GI03FLMA-RIS01-05-FLORTD000,telemetered,Science
