reference_designator,data_source,type_list,ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,Automated_status,status,notes_x,CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes_y
GA02HYPM-MPM01-02-ZPLSGA009,recovered_inst,Science,GA02HYPM_R00001_ingest.csv,GA02HYPM,1,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not installed,,#AT-26-30,,NBP-15-10,,1,2015-03-16T19:00:00,2015-11-15T15:22:00,CGMGA-02HYPM-00001,,,-42.98167,-42.4985,,,5200,not deployed
GA02HYPM-MPM01-02-ZPLSGA009,recovered_inst,Science,GA02HYPM_R00002_ingest.csv,GA02HYPM,2,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not installed,,#NBP-15-10,,,,1,2015-11-16T18:36:00,2016-11-05T00:00:00,CGMGA-02HYPM-00002,,,,,,,5196,not deployed. Mooring had fallen and was not recovered. End date is the date the recovery was cancelled.
GA02HYPM-MPM01-02-ZPLSGA009,telemetered,Science,GA02HYPM_D00001_ingest.csv,GA02HYPM,1,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not installed,,#AT-26-30,,NBP-15-10,,1,2015-03-16T19:00:00,2015-11-15T15:22:00,CGMGA-02HYPM-00001,,,-42.98167,-42.4985,,,5200,not deployed
GA02HYPM-MPM01-02-ZPLSGA009,telemetered,Science,GA02HYPM_D00002_ingest.csv,GA02HYPM,2,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not installed,,#NBP-15-10,,,,1,2015-11-16T18:36:00,2016-11-05T00:00:00,CGMGA-02HYPM-00002,,,,,,,5196,not deployed. Mooring had fallen and was not recovered. End date is the date the recovery was cancelled.
GA02HYPM-MPM01-02-ZPLSGA009,telemetered,Science,GA02HYPM_D00003_ingest.csv,GA02HYPM,3,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Issues with data - MIO investigating,,#NBP16-09,,,,1,2016-10-29T22:10:00,,CGMGA-02HYPM-00003,,,,,,,5189,not deployed
GA02HYPM-MPM01-02-ZPLSGA010,recovered_inst,Science,GA02HYPM_R00001_ingest.csv,GA02HYPM,1,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not installed,,#AT-26-30,,NBP-15-10,,1,2015-03-16T19:00:00,2015-11-15T15:22:00,CGMGA-02HYPM-00001,,,-42.98167,-42.4985,,,5200,not deployed
GA02HYPM-MPM01-02-ZPLSGA010,recovered_inst,Science,GA02HYPM_R00002_ingest.csv,GA02HYPM,2,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not installed,,#NBP-15-10,,,,1,2015-11-16T18:36:00,2016-11-05T00:00:00,CGMGA-02HYPM-00002,,,,,,,5196,not deployed. Mooring had fallen and was not recovered. End date is the date the recovery was cancelled.
GA02HYPM-MPM01-02-ZPLSGA010,telemetered,Science,GA02HYPM_D00001_ingest.csv,GA02HYPM,1,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not installed,,#AT-26-30,,NBP-15-10,,1,2015-03-16T19:00:00,2015-11-15T15:22:00,CGMGA-02HYPM-00001,,,-42.98167,-42.4985,,,5200,not deployed
GA02HYPM-MPM01-02-ZPLSGA010,telemetered,Science,GA02HYPM_D00002_ingest.csv,GA02HYPM,2,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not installed,,#NBP-15-10,,,,1,2015-11-16T18:36:00,2016-11-05T00:00:00,CGMGA-02HYPM-00002,,,,,,,5196,not deployed. Mooring had fallen and was not recovered. End date is the date the recovery was cancelled.
GA02HYPM-MPM01-02-ZPLSGA010,telemetered,Science,GA02HYPM_D00003_ingest.csv,GA02HYPM,3,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Issues with data - MIO investigating,,#NBP16-09,,,,1,2016-10-29T22:10:00,,CGMGA-02HYPM-00003,,,,,,,5189,not deployed
